time,joy_delta,joy_speed,lqg_delta,lqg_speed,lqg_e_cg,lqg_e_cg_dot,lqg_theta_e,lqg_theta_e_dot,lqg_e_cg_hat,lqg_e_cg_dot_hat,lqg_theta_e_hat,lqg_theta_e_dot_hat,yaw,yaw_rate,vx,vy
0.506,0.0,0.0,-0.0,0.363,0.14,0.008,0.081,1.614,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0
0.536,0.0,0.0,-0.0,0.363,0.14,0.008,0.081,0.0,0.064,0.0,0.0,-0.0,0.0,0.0,0.1,0.0
0.561,0.0,0.0,-0.032,0.363,0.14,0.008,0.081,0.0,0.099,0.001,0.0,0.003,0.0,0.0,0.1,0.0
0.59,0.0,0.0,-0.051,0.363,0.14,0.008,0.081,0.0,0.118,0.002,0.001,0.007,0.0,0.0,0.1,0.0
0.64,0.0,0.0,-0.063,0.363,0.138,0.008,0.081,0.0,0.129,0.002,0.002,0.009,0.0,0.0,0.1,0.0
0.689,0.0,0.0,-0.07,0.363,0.138,0.008,0.081,0.0,0.133,0.002,0.003,0.009,0.0,0.0,0.1,0.0
0.741,0.0,0.0,-0.074,0.363,0.136,0.012,0.119,0.757,0.136,0.002,0.004,0.009,0.0,0.0,0.1,0.0
0.792,0.0,0.0,-0.076,0.363,0.136,0.012,0.119,0.0,0.136,0.002,0.006,0.009,0.0,0.0,0.1,0.0
0.839,0.0,0.0,-0.078,0.363,0.138,0.01,0.101,-0.348,0.136,0.003,0.008,0.01,0.0,0.0,0.1,0.0
0.887,0.0,0.0,-0.081,0.363,0.138,0.01,0.101,0.0,0.138,0.003,0.01,0.011,0.0,0.0,0.1,0.0
0.939,0.0,0.0,-0.084,0.363,0.141,0.008,0.08,-0.417,0.138,0.003,0.012,0.011,0.0,0.0,0.1,0.0
0.986,0.0,0.0,-0.088,0.363,0.141,0.008,0.08,0.0,0.14,0.004,0.015,0.011,0.0,0.0,0.1,0.0
1.038,0.0,0.0,-0.092,0.363,0.142,0.012,0.121,0.82,0.141,0.004,0.017,0.011,0.0,0.0,0.1,0.0
1.09,0.0,0.0,-0.095,0.363,0.142,0.012,0.121,0.0,0.142,0.005,0.021,0.013,0.0,0.0,0.1,0.0
1.139,0.0,0.0,-0.101,0.363,0.14,0.008,0.08,-0.82,0.142,0.005,0.025,0.014,0.0,0.0,0.1,0.0
1.204,0.0,0.0,-0.107,0.363,0.136,0.008,0.081,0.008,0.142,0.005,0.029,0.012,0.0,0.0,0.1,0.0
1.263,0.0,0.0,-0.11,0.363,0.136,0.008,0.081,0.0,0.14,0.005,0.031,0.01,0.0,0.0,0.1,0.0
1.296,0.0,0.0,-0.111,0.363,0.136,0.008,0.081,0.0,0.138,0.005,0.034,0.009,0.0,0.0,0.1,0.0
1.341,0.0,0.0,-0.114,0.363,0.139,0.01,0.101,0.399,0.138,0.005,0.037,0.008,0.0,0.0,0.1,0.0
1.388,0.0,0.0,-0.116,0.363,0.139,0.01,0.101,0.0,0.139,0.006,0.041,0.009,0.0,0.0,0.1,0.0
1.439,0.0,0.0,-0.122,0.363,0.138,0.01,0.101,0.0,0.139,0.006,0.045,0.009,0.0,0.0,0.1,0.0
1.492,0.0,0.0,-0.127,0.363,0.138,0.01,0.101,0.0,0.139,0.006,0.048,0.009,0.0,0.0,0.1,0.0
1.539,0.0,0.0,-0.131,0.363,0.138,0.008,0.08,-0.407,0.139,0.007,0.052,0.008,0.0,0.0,0.1,0.0
1.588,0.0,0.0,-0.135,0.363,0.138,0.008,0.08,0.0,0.139,0.007,0.054,0.007,0.0,0.0,0.1,0.0
1.64,0.0,0.0,-0.138,0.363,0.139,0.01,0.101,0.407,0.139,0.007,0.056,0.006,0.0,0.0,0.1,0.0
